Name,Tag,Server,Region
PM FOR ELOBOOST,PMME,euw,europe
Sponge,KR2,kr,asia
Royker,LAN,lan,americas
I like to eat,steak,euw,europe
Box dimension,BOX,na,americas
Devoured,Carry,kr,asia
Son of Apollo,MUTE,na,americas
Rug,vTR,euw,europe
revery,xxx,euw,europe
if only,0728,na,americas
RlwjD,KR1,kr,asia
lost everything,vntm,euw,europe
nmslcnmkrd,1234,euw,europe
Santi,tuki,lan,americas
nwmxd,L9L9,euw,europe
Biov2,023,na,americas
Rezende Evil,BR2,br,americas
viego smash,fatal,br,americas
zuihouyiye,2007,kr,asia
zyp hanfu1,zypp,kr,asia
guz1vjppr0kut3,2810,kr,asia
Spray,777,euw,europe
selim123,00000,euw,europe
Eye of Twilight,0805,kr,asia
sheiden1,LAS,las,americas
kzxktobxkut,EUW,euw,europe
Samurai Jack,EUW3,euw,europe
James Doakes,GLIDE,euw,europe
Diable,BFRX,na,americas
Sung Jin woo,BAR,euw,europe
Kimman,zxfkk,kr,asia
Love Ruins All,Vieg0,las,americas
Avalanche,kanye,euw,europe
Aiakos,3169,tr,europe
9999,kr7,kr,asia
Alfons Mucha,LAMO,euw,europe
Rhilech,15105,euw,europe
Floch Forster,devil,na,americas
HYR ZellDun,HYR,lan,americas
Terim,0020,na,americas
NerfRyu,LAS,las,americas
Man Of The Year,PBM,euw,europe
Jude Bellingham,667,euw,europe
andres 404error,REAL,lan,americas
BIG daddy,EUW25,euw,europe
Ariandad,LAN,lan,americas
goblin,run,euw,europe
FireSlayer10,LAN,lan,americas
goodlegendlevend,lan o,lan,americas
Stray,BORZZ,euw,europe
the end,jan,tr,europe
Joadi v5,EUW,euw,europe
neo,miel,las,americas
Mie,Rank1,tr,europe
Rank 1 Naafiri,TTV,lan,americas
rukous,a14,euw,europe
Veeno,2137,euw,europe
Mikjer,69969,ru,europe
cherrymin,EUNE,eune,europe
Slave of Fate,5020,euw,europe
ambessa,rota,lan,americas
Dick Grayson,r0bin,euw,europe
Alan,000,na,americas
Oaraen9,9857,tr,europe
lurdi,3232,lan,americas
200ms,NA2,na,americas
Rnwl,EUW,euw,europe
Lv1 Safari,EUW,euw,europe
The Broubers,LOBO,br,americas
xyu,KR2,kr,asia
Diablo2016,EUW,euw,europe
damiandak,DAK,lan,americas
ES Brighter Days,AHEAD,las,americas
Remi,duck,na,americas
Gitano,TFate,las,americas
Azrrialxd,lig,na,americas
Rebecca,yay,euw,europe
iundix,LAS,las,americas
Pavitt,EUW,euw,europe
OSCARINO922,EUW,euw,europe
noahikiosken,kiosk,euw,europe
INoobMaster,EUW,euw,europe
fugi reworked,EUW,euw,europe
Chama Morita,EUW11,euw,europe
pitch black,lulas,euw,europe
GRID,BR2,br,americas
bloodstained,rug,na,americas
LILAC,KR129,kr,asia
HeyMan,0707,euw,europe
Ness,Pilk,lan,americas
Hoarah Loux,0001,tr,europe
Son of Battle,MLA,na,americas
TheRickestRick,C137,na,americas
GIimpse of us,LAS,las,americas
Skovy,RU1,ru,europe
Rashomon,rope,euw,europe
CoopedKey,NA1,na,americas
LGBT2Q,aaa,jp,asia
Jenxas v2,EUW,euw,europe
Light Monarch,br1,br,americas
qnewbnuerhj,0000,kr,asia
PMR Sousa13,PMR,euw,europe
flout,000,br,americas
moo deng,awawa,euw,europe
patience,0718,kr,asia
degustator stup,nojob,eune,europe
Gosu,1st,kr,asia
ice,jg69,na,americas
SeidyN,EUNE,eune,europe
zRoom,2002,br,americas
Hankat,EUW,euw,europe
02 02 1996,TR57,tr,europe
sunghyuk39,KR1,kr,asia
Helenita,ego,lan,americas
betrayal,stark,br,americas
DaFaintSmiLe,LAN,lan,americas
UrascBoostatele,0000,eune,europe
Sector Agric0la,LAN,lan,americas
The Third Darkin,LAS,las,americas
KaynYouNot,EUNE,eune,europe
TheSkyfallsforme,Rin,na,americas
CURBSTOMPER71727,swag,br,americas
adrianosuper2019,Viego,las,americas
HIDE ON WALL,1111,eune,europe
2 and half sheen,EUW,euw,europe
Youtube EvilAdro,Evil,las,americas
Lelouch,imper,br,americas
Bestboyx,hater,na,americas
Tionstone,651,na,americas
uwaa,108,na,americas
Bunny,chibi,lan,americas
ozznerodarat,NA2,na,americas
Shadowkekw,kekw,br,americas
ViegoGwenIsolde,LAN,lan,americas
Zenetinhoxd,6969,br,americas
Ezilium,br1,br,americas
TTV Nordeenn,Kaynn,euw,europe
etxss,br1,br,americas
Enzzy,ADC,eune,europe
Ivelja,EUNE,eune,europe
Johhnyz,00000,eune,europe
FIosd,LAN,lan,americas
Slavic Dragon,NA2,na,americas
Kusa o Miko,EUW,euw,europe
A Gustaa,GREAT,na,americas
NeverTalk,CryG,lan,americas
yiyecek,0606,tr,europe
Karasmai Rhaast,NA1,na,americas
piramiden boss,EUNE,eune,europe
KloveJ,4ever,na,americas
Satsuki,KR1,kr,asia
FredanV,NA1,na,americas
FUN DIP SNORTER,HYUCK,lan,americas
reffect,2008,br,americas
MAKTUB,0921,kr,asia
Zanarkand,VII,na,americas
Hartemurenn,0702,euw,europe
sluoS 12,3002,lan,americas
kaynyounot,euw2,euw,europe
homura akemi,abyss,br,americas
KvasirFlugal,EUW,euw,europe
JOJI FANBOY DOG,cutie,lan,americas
ThatsCoolPlaying,9626,euw,europe
RS Logic,Candy,na,americas
Twtv Arkanoidn,Kayn,br,americas
TheRealCotone,ekko,euw,europe
DenisW4,Cana,br,americas
Cibalsann,7998,euw,europe
Sinatra,myway,br,americas
YoshiiKazuho,PROXY,eune,europe
homicide55555,00000,eune,europe
ur terible playe,19754,na,americas
Hollow Knight,Hygon,euw,europe
PETR PETROVIC,PETRV,ru,europe
SAHIDGAMER13,LAN,lan,americas
Disdain,gab,euw,europe
Aqualizer,LANn,lan,americas
hudi763,EUNE,euw,europe
sleepwalker,sonne,br,americas
Dxgo,476,las,americas
woschingtonggg,br1,br,americas
vei,BR1,br,americas
Ana de Armas,Akame,euw,europe
vJANKESv,EUNE,eune,europe
Dark Kregan,EUNE,eune,europe
JerryRaynor,3536,tr,europe
Nezuko,Anita,lan,americas
OnlyDrago,LAN,lan,americas
can win,KR 1,kr,asia
WorderCoat,LAN,lan,americas
Utopian Mindset,NA1,na,americas
Toxin,WEST,euw,europe
Accez,IDL,br,americas
Cuzz,KR1,kr,asia
FURIA Tatu,10y,br,americas
dont mind me,faith,euw,europe
Barkoon,bark,euw,europe
namelesss,1504,euw,europe
Bonnie,BLDP,euw,europe
Rhilech,15105,euw,europe
fgdgaw,KR1,kr,asia
forward to death,panam,br,americas
Clid,1014,kr,asia
DK21,Omni,na,americas
CRN Jenritch,1724,euw,europe
Kania,krkr,euw,europe
CYB Migas,2222,br,americas
Fiszu,SDN,euw,europe
halepli int acc,7dak,tr,europe
mi quang,hzt,kr,asia
Diguin,7648,br,americas
MmSalvatore,LAS,las,americas
42 Thorden,Ged,euw,europe
Issou001,BVRB,euw,europe
ww1w,qqq,kr,asia
Kirby,0528,kr,asia
shinei Nouzen,SSJ,las,americas
Drakesin4,DRS,euw,europe
wenzhoushuaige,1101,kr,asia
wjdrmf,djfuq,kr,asia
apolo,julia,br,americas
Lelouch,Azes,br,americas
Hasmed,2002,kr,asia
Raptor,KR123,kr,asia
B2U Nord,B2U,euw,europe
Prime,LDMP,euw,europe
lyncas mad kid,lync1,euw,europe
lmln,KR3,kr,asia
guz1vjppr0kut3,2810,kr,asia
Juhana,DRX25,kr,asia
Aprox,KR1,kr,asia
DK Sharvel,KR1,kr,asia
Shylie,KR1,kr,asia
Siatdi,EUW,euw,europe
Gobiee,Naa,na,americas
TeaBagurin,DADDY,euw,europe
Gavin,BR2,br,americas
Sirius Can,CAN,lan,americas
Zweek,Tweek,euw,europe
LostInYourEyes,soul,euw,europe
Sensation,KR2,kr,asia
Lion,KR5,kr,asia
Rita Torre,CRUSH,euw,europe
ChiddyBang,PERE,euw,europe
Lowelas123,EUNE,eune,europe
ReformedSalvyar,1234,euw,europe
Jacky im Blut,daddy,euw,europe
Six Months,0000,kr,asia
02 01 04,diyi,br,americas
DROGA CANIBAL,115,euw,europe
Sector Agricola,001,euw,europe
Rhythm And Blues,YBJ,br,americas
menor capeta,003,br,americas
pop9,KR1,kr,asia
lastis,1234,euw,europe
Tren Abuser xd,EUNE,eune,europe
Drizzle,ADCY,euw,europe
Eudemonic,222,kr,asia
Tacto,secs,eune,europe
ww1w,qqq,kr,asia
Merkury,0725,kr,asia
a kind child,leaf,euw,europe
7uki,cn1,kr,asia
Mamus Mentality,0000,br,americas
Raiiken,0000,br,americas
Miraitowa,zxs,kr,asia
Conceit,6720,na,americas
qualzy,333,euw,europe
ill try,EUNE,eune,europe
Emilia,Bella,eune,europe
DarkSeeZe,JGL,ru,europe
Banned,Euw2,euw,europe
Zuzek,EUNE,eune,europe
Saint Swiss,NA2,na,americas
RASPALAPIPA,666,las,americas
qwer1234,4343,euw,europe
sad and bored,idgaf,lan,americas
wenda,0000,na,americas
wakanda for0ner,rito,kr,asia
VemTranquiloPoh,BR1,br,americas
NaturePhotonics,2802,na,americas
Hecarizmi,EUWJO,euw,europe
glue eater,9723,eune,europe
Final Prince,EUW,euw,europe
ChopTheFarmer,CHOP,euw,europe
Unforgiven,envy,na,americas
Siobhanx,5555,euw,europe
Poniros,6421,eune,europe
Mike,MOB,na,americas
YSL Thugger,EUNE,eune,europe
Tetan,EUW,euw,europe
Mehsi,EUW,euw,europe
TiranoSauloRex,REX,br,americas
Vie,TiltP,euw,europe
ESPRIT COLEREUX,3432,euw,europe
JokerNopeSmurf,2325,euw,europe
koae,koae,euw,europe
CarelesMistake,NA1,na,americas
GaaBriieel,Chile,las,americas
GSF Cofidis,CHOTA,euw,europe
WarningWarning,kr01,kr,asia
JidoWu,2195,euw,europe
Hupida,HPD,br,americas
BS CodeWar,EUW,euw,europe
v1SaG3,1337,euw,europe
Th3baBaDo0k,EUW,euw,europe
never doubt,Rank1,euw,europe
Killeric99,EUW,euw,europe
OnMyWay,JNGL,eune,europe
Antetokounmbo,KR1,kr,asia
HELPER PLAYER,KR1,kr,asia
Geagwos,NA1,na,americas
NikiTheCheeky,GUNS,euw,europe
Corruption,Money,br,americas
Atheatos,vwls,eune,europe
Foutriquet,FOU,euw,europe
AMZ Asta,BARK,euw,europe
pooprooster,NA1,na,americas
reserpina,666,br,americas
CosminThunde,EUNE,eune,europe
BOMBACLAAAAAAT,GYATT,euw,europe
DRG Renzione,2811,euw,europe
SlotMach1n3,777,euw,europe
Anthony Ginting,INS,euw,europe
Drakesin4,DRS,euw,europe
momardos diego,SDLG,las,americas
MilkyWay hands,Chall,euw,europe
Rising,2005,euw,europe
Billy Russo,PAIN,euw,europe
SGE Lopinox,0805,euw,europe
Korn,1994L,br,americas
Folker,Duke,euw,europe
42 Thorden,Ged,euw,europe
Smol,okk,euw,europe
AMON ZODIAC,MONK,eune,europe
GINE FRESKOS,TIER3,euw,europe
Bvlade,2000,las,americas
Kickless,EUW,euw,europe
Agurin,DND,euw,europe
NT NowFin,CIEL,euw,europe
SaptanTrion,RU1,ru,europe
Chezu,TITAN,lan,americas
Hybradge,ADL,euw,europe
Visidosin,EUW,euw,europe
Pupito508,br1,br,americas
Amarula,6534,br,americas
StevanRoben323,EUNE,eune,europe
Mefedro,1337,eune,europe
xShadezz,2607,euw,europe
Mattownu1212,NA1,na,americas
HankeeeTheChosen,EUW,euw,europe
IamHIGHERthanYOU,EUW,euw,europe
Dadan,NJK,eune,europe
zarzu,EUNE,eune,europe
Assane Diop,1V9,euw,europe
Hextech Groot,WEWOO,euw,europe
Ballin,1904,euw,europe
ThomasRTC,5277,euw,europe
juKi,NA1,na,americas
hori bucluc,EUNE,eune,europe
qui,elo,euw,europe
Norbaa,EUNE,eune,europe
the promise,starz,las,americas
Only1Jakub,EUNE,eune,europe
MrPlaCCek,EUNE,eune,europe
Rodrygoes,999,euw,europe
KrimsonKatana,NA1,na,americas
SirTipsalot,EUW,euw,europe
tablechairpcdesk,EUW,euw,europe
Kyjid,EUW,euw,europe
AURA OWNER,SOLO,eune,europe
Spidey2x,EUNE,eune,europe
BLUSKAM FERRARI,EUW,euw,europe
krancheats,EUNE,eune,europe
strikerthebest,EUW,euw,europe
nothing2smile4,EUW,euw,europe
IGLoODaN,Emily,euw,europe
Microsoft Edge,yenow,br,americas
NattyNatt,2005,euw,europe
Turbo Reformed,GROPD,euw,europe
bicas,Faker,euw,europe
Uvinos Jungle,EUW,euw,europe
Shadow EL Momes,MOMES,euw,europe
moderncindyrella,C1124,eune,europe
arawn,DNG,euw,europe
babylotion,gay,euw,europe
Refuge,1210,kr,asia
FVN Vinite,yumin,br,americas
FS Raydell,2004,lan,americas
love me,majka,eune,europe
Koii,1118,ru,europe
Remoc,EUNE,eune,europe
Art of Velocity,001,euw,europe
helpjg,0202,kr,asia
Theoyrdum,3084,na,americas
Gutsu,3107,euw,europe
Frandito,EUW,euw,europe
Broken1321,EUNE,eune,europe
LunaVoltuniel,EUNE,eune,europe
Kasiikkooi55,EUW,euw,europe
Kirei Sama,coach,kr,asia
jg prodigy,RV1,euw,europe
tyllar,777,euw,europe
Symphony of War,00000,euw,europe
dale,3440,tr,europe
Theatrics,NA11,na,americas
last dance,0 5,kr,asia
I Need Goums,Tigru,euw,europe
Kirby,0528,kr,asia
Barou Shouei,013,euw,europe
NatuLover19,SWAG,na,americas
Tiger of Echizen,RIVAL,na,americas
Jug,KR 1,kr,asia
re0,2007,kr,asia
CHAMA,KR87,kr,asia
czech Doge,2009,euw,europe
D4SH,0001,euw,europe
TTV BAASHH,EUW,euw,europe
MarlnN,EUW,euw,europe
wyhawlaysme,0000,kr,asia
Dagedox,EUW,euw,europe
Gebby09,Bull,eune,europe
Meliodas2344,LAN,lan,americas
Piolin 1,LAS,las,americas
Dandom,000,euw,europe
REDSKULL LILLIA,TEK,na,americas
Jakarre,8836,br,americas
nicolax39,LAS,las,americas
i love lol,KR2,kr,asia
venom,elias,na,americas
Gold,TEAMR,euw,europe
skibidiohiojelen,jelen,eune,europe
xX Tirach Xx,EUW,euw,europe
Dayforce,EUNE,eune,europe
Silenced,lag,na,americas
rouman the goat,swag,eune,europe
Shovoo,TR1,tr,europe
m8x2kzq7wld9rbta,x9a2m,kr,asia
Ace Henry,NA1,na,americas
drowsy fever,Frfr,euw,europe
DE Kripsus,777,na,americas
Tima,JP1,jp,asia
pim,weeds,br,americas
gabima,br1,br,americas
AnkraMessi,siuuu,eune,europe
Kvothe,Arc,br,americas
ONEPOINTFIVE,EUW,euw,europe
kebab,ktopl,euw,europe
RedFame,TR1,tr,europe
T1 Sanch,Son,euw,europe
xiaodi,1228,kr,asia
Rhujshyald,8449,na,americas
Luden,9876,euw,europe
T1 Gumayusi,CWELL,eune,europe
EvolvedPredator,Kha6,eune,europe
Heaven,bresh,las,americas
Copy,Fear,br,americas
LastTime,4MANO,na,americas
DooM12,1312,na,americas
Chuku,Claws,eune,europe
linni,manni,na,americas
Codesix,0112,kr,asia
Xiao Tai Mei,OvO,na,americas
twtv nickich,1336,eune,europe
better jg wins,RJ1,br,americas
Zeth,T1z,las,americas
Murasaki,euw2,euw,europe
Solomon,xyi,na,americas
Zectifyz,EUW,euw,europe
Der Sonderbare,EUW,euw,europe
mistiQ,1221,euw,europe
severity seeker,EUW,euw,europe
Cacauzinha,Hey,br,americas
SmoKePaaF,ZWM,eune,europe
balikci337,337,tr,europe
Spriteboy56,EUW,euw,europe
Hot blooded,sunny,na,americas
Dark,Zix,kr,asia
Ciefimo,EUW,euw,europe
stonad,ouj,kr,asia
Kha Rol,L60,eune,europe
I Jano I,LAN,lan,americas
Zaptor,404,euw,europe
1234,213,euw,europe
110,4MANO,na,americas
Ziko,DBZ,euw,europe
Uvinos Jungle,EUW,euw,europe
ricrickx,LAN,lan,americas
llllllllll,lllIl,kr,asia
RG SoMo,4553,euw,europe
Tom Bombadil,LOTR1,eune,europe
Repfix,NA1,na,americas
Dionysos,CSO,euw,europe
ELE A EL DOMINIO,LAS1,las,americas
2oapmanwun,CICKI,eune,europe
Yellena,tsung,euw,europe
Remtiz,rmtiz,br,americas
Kenshi Kaya,444,tr,europe
Frosted Cupcake,turd,na,americas
prometheus,nero,tr,europe
Zequilla,NA1,na,americas
EUNE TAKEOVER,KING,euw,europe
SuperMalveillant,EUW,euw,europe
spy the man,KR1,kr,asia
BleachedBaboon,wuff,euw,europe
meowmonster,EUW,euw,europe
Riker,FF15,br,americas
DFG,1v9,na,americas
Friigo,001,euw,europe
Banned,Euw2,euw,europe
InvadeMeToWin,jungl,las,americas
leap,kzx,br,americas
Mango Trolo,YOYO,lan,americas
QQQW1N,EUW,euw,europe
Theatrics,NA11,na,americas
finita v2,rus,euw,europe
hfjklz,real,eune,europe
perfect blue,art,br,americas
axioma,171,br,americas
gdfsgredgrey4e5y,BR1,br,americas
Get Better,Yubs,lan,americas
Gileshelly,8167,euw,europe
1AlluK,LAS,las,americas
dothivovi,cuPi,kr,asia
Unicorn on keta,Smurf,euw,europe
3 6 9,189,kr,asia
Not Like Us,noser,lan,americas
Willy Woodinson,chill,euw,europe
Radostina,0001,euw,europe
BLACKLIVESMATTER,JK  0,lan,americas
GRAVES KING,KR1,kr,asia
vitamin,9876,na,americas
Gui,2Shot,br,americas
Koetz,Koetz,br,americas
Victor Osimhen,JG1,tr,europe
Fumei algo verde,br1,br,americas
Mbaguette,1234,las,americas
KKLT,1013,kr,asia
AlluK,goat,br,americas
Trainwreckstv,Coke,euw,europe
Sebarine,LAS,las,americas
Castle,Berry,na,americas
Kaling,SGL,na,americas
Cpt Mpizos,EUNE,eune,europe
dream lover,0204,na,americas
admiral,5660,euw,europe
IG Radagast,LOTR,br,americas
YEIMO CARRION,LAN,lan,americas
RANK 1 YI,0301,lan,americas
misc,hit,br,americas
Undominoodle,akuma,tr,europe
Fall To Light,br1,br,americas
blink less,god,tr,europe
FRAG 12,EUNE,eune,europe
lllllllllllllllI,lIIll,lan,americas
Karjamairmirink,3717,na,americas
sC Stefan,Zen,eune,europe
Queenofinsanity,777,na,americas
GladeGleamBright,NA1,na,americas
Syelcniver,LTAS,br,americas
Queyilmos,4373,euw,europe
Sung Yinwoo,Zen,eune,europe
black sword,011,las,americas
The Gank Banker,TR1,tr,europe
FlexFinesse,NA1,na,americas
lIIllIIlIlIIlll,4200,kr,asia
BAD GIVEUPP,TOP1,br,americas
KMP KaitoKid,LAS,las,americas
mambaws,mog,eune,europe
Pinita,EUW2,euw,europe
888,htchy,br,americas
Report Yi,Anna,na,americas
Elcavo30,BR1,br,americas
Javifast,Dream,las,americas
DeathBlade,0000,tr,europe
dog in the fog,bonk,euw,europe
Nightcore,0701,br,americas
Bugroth,LAS,las,americas
ZUPOJK9,EUNE,eune,europe
iuefh8w7hf48h4w,HAHXD,euw,europe
Picks Is A Nonce,EUW,euw,europe
Mediten,las1,las,americas
BLACKQUEUE KKKK,br1,br,americas
nikos reformed,EUW,euw,europe
HOROHOUND,JP2,jp,asia
Vastus,CVL,eune,europe
deviIish,666,br,americas
kula krul,EUW,eune,europe
harryold,harry,eune,europe
Prodigy,EURD,eune,europe
minju,004,na,americas
Ed Warren,xDDDD,las,americas
META BREAKER,TRYME,tr,europe
NecesOces,EUW2,euw,europe
IA PLAYER,ERROR,br,americas
mmmmcy,LAN,lan,americas
DarkCry777,RU1,ru,europe
Bellion,CLM,euw,europe
swatholy,1799,br,americas
HAHAHAHAHAHAHAHA,6575,br,americas
Zasuo Yi,NA1,na,americas
KingKongMegaDong,EUW,euw,europe
Wushu,2222,tr,europe
KNOCK2,DROP,na,americas
The 2nd Law,001,tr,europe
Johnowo,OWO,euw,europe
NAGELSMANN,69690,euw,europe
memento mori,nikos,euw,europe
fixation,haze,na,americas
isagi,004,euw,europe
NEXT LEVEL,XXX,tr,europe
Grievous Wounds,RU1,ru,europe
kill myself DD,soon,eune,europe
Acereje AdC,Diana,las,americas
xyyyyyyy,EUW,euw,europe
nahash,0802,euw,europe
vaynix,243,euw,europe
PABLITOPESADILLA,666,br,americas
Kobi,catKB,na,americas
what can I say1,zypp,kr,asia
J4N0 tu P4P4,easy,las,americas
Layne in hell,fresh,tr,europe
Lucradrase,EUW,euw,europe
To the Moon,KR1,kr,asia
show maker king,KR1,kr,asia
PrincessdianaCha,420,eune,europe
kingruel,sph,tr,europe
Beyonder,kral,euw,europe
Rank 1 Naafiri,TTV,lan,americas
GodLikeFriqher,TR1,tr,europe
BRUIXA SNIPER,SISPL,lan,americas
Relax,11112,kr,asia
ddwqd,6324,eune,europe
BATMAN,18 06,lan,americas
MrFar3on,8350,euw,europe
shuriken is back,TR1,tr,europe
HYR ZellDun,HYR,lan,americas
Guz Ropny Mentos,EUNE,eune,europe
CollinsKilla,NA1,na,americas
InspireD,BR1,br,americas
Kai9,wosie,na,americas
Prio wins games,EUW,euw,europe
ImRigby,NA1,na,americas
Sigi Sigfried,POPO,euw,europe
LEZO HAS RETURN,GAB,euw,europe
PickelPinocchio,444,euw,europe
moon sword,br1,br,americas
shaygrx,NA1,na,americas
kitty meow 33,l0l,na,americas
le couteau,111,tr,europe
ChatBanned,6969,na,americas
KALISTA  KING,BR100,br,americas
Seur Zieghart,Verel,lan,americas
EKA DonPichi,JGAP,lan,americas
eternal pain,cry,eune,europe
Orinadrienin,GOAT,tr,europe
Microsoft Edge,yenow,br,americas
0foof,TR1,tr,europe
xlampr,NA1,na,americas
Emma1,EUW,euw,europe
PirajuuL,9149,br,americas
N0 PESC0 WE0NE,LAS,las,americas
Wipix,EUW,euw,europe
otan,0001,tr,europe
Race Maudite,666,euw,europe
Lolo Bot,EUNE,eune,europe
Jungle,TR7,tr,europe
gank on,0504,kr,asia
Sanelinib,EUW,euw,europe
NextLevelDiana,EUNE,eune,europe
the promise,starz,las,americas
no feelings,Diana,las,americas
pnd,016,eune,europe
BG du CV,br1,br,americas
Archonte,NA1,na,americas
Dominance,0009,eune,europe
zaiwoxinli,NA1,na,americas
WE DONT INT,NA1,na,americas
EagzGap,CLOWN,br,americas
DEEP SKAR,ZED,kr,asia
XXXASESINO,BUFON,eune,europe
bratuka,0000,eune,europe
79th maryland,079,na,americas
DISBORN,TWTV,euw,europe
Tonyhawkk,EUW,euw,europe
user 1374,NA1,na,americas
N Y,KR2,kr,asia
Kyouko,Kyon,na,americas
www5757,KR1,kr,asia
Shaco,FKLON,lan,americas
GL Sixen,DCMS,euw,europe
Shaco Bitcoin,2157,br,americas
Frosted Cupcake,turd,na,americas
ujo,000,eune,europe
doyeonie,0626,kr,asia
B2U Nord,B2U,euw,europe
YCoyotlY,br1,br,americas
Lavigne,sss,kr,asia
Paradise City,Luigi,na,americas
ttv freshrengar,clean,na,americas
Hungry Hunt,EUW,euw,europe
WILD SHACO,KR1,kr,asia
TestoScoob52,0727,euw,europe
gdfsgredgrey4e5y,BR1,br,americas
Buggy2v9,EUW,euw,europe
iShifty,NA1,na,americas
anujk,NA1,na,americas
DRlFTY,BELE,euw,europe
Superior Hippo,NA1,na,americas
Binho Sorveteiro,br1,br,americas
No Regret Life,KR1,kr,asia
sIay,uwu,lan,americas
Junga,Bunga,br,americas
nobody,ru2,ru,europe
Hellhound,298,na,americas
Tonashihar,br1,br,americas
Joys,Shaco,lan,americas
CrispyJew,6969,euw,europe
Roxxor,R1ELE,euw,europe
Till 68,EUW,euw,europe
20082024,cya,euw,europe
Reverendlnsanity,fang,euw,europe
mano ppk,0chat,na,americas
Do not betray me,Team,kr,asia
HAPPYMEAL444,PRIME,na,americas
Dotlool,EUW92,euw,europe
LEPKAM CQLO BG,ODELO,eune,europe
Burnzy,EUW,euw,europe
Clowntergeistt,Clown,lan,americas
YEAH MB WE 15 FF,WRH,euw,europe
TTV DEMONSHACO,NA2,na,americas
ShaK1NG,LAS,las,americas
FF Zeus,EUNE,eune,europe
kodajkonai,2137,eune,europe
Tricky,007,euw,europe
MadScientist,TTV,euw,europe
gbrZERA,SSP,br,americas
SystemOfAClown,Deb1l,eune,europe
iTzxJoYsTicKzZ,EUW,euw,europe
Pink Wilds,KR11,kr,asia
Bonnie,BLDP,euw,europe
Make it Work,EUW,euw,europe
Inbianco,0000,euw,europe
B3ST ONE,br1,br,americas
anniax,2810,euw,europe
GG Denisovich,GRAZ,euw,europe
TakenHunter,2604,lan,americas
EXP Garguentua,JUNG,euw,europe
acety fun acc,1000,tr,europe
Is not wolfang,NA1,na,americas
Trickster,NR11,euw,europe
Heaven,tt0,kr,asia
Rick,lvdou,kr,asia
zyp hanfu28,zypp,kr,asia
Cheap Dramas,USLLS,euw,europe
lol exquisito,LAS,las,americas
kryj se kryso,asfmw,euw,europe
TTV BroKenSSB,TTV,na,americas
G2 SkewMond,3327,euw,europe
Marcus Aurelius,STO1C,eune,europe
Groinze,EUW,euw,europe
coys,,kr,asia
Kick Ass,KR1,kr,asia
Es Nerf O Nadaa,LAN,lan,americas
Aari,euw2,euw,europe
NextMove,Adapt,br,americas
The Fifth Leaf,LFT,euw,europe
Manjarres,pum,lan,americas
Megaforce,2009,na,americas
insurgent,EUW2,euw,europe
BYOD Poro,jgl,euw,europe
Habin Edward III,NA1,na,americas
StarDizzy,TR1,tr,europe
Future Zed,NA1,na,americas
Braticano,EUW,euw,europe
MrPlaCCek,EUNE,eune,europe
Junichi,nico,br,americas
Sinxnie,S1NXN,euw,europe
Reanimnedy,5876,euw,europe
Accomplish,1299,euw,europe
Xin Zhao,Soled,br,americas
dont trust mp3,mp3,eune,europe
FA Shiedart,Mari,br,americas
farketmezgider,TR1,tr,europe
Viscero,CN1,na,americas
Ace,g0d,eune,europe
4114,EUW,euw,europe
NibbaRudi,TAE,euw,europe
Lille Svend,EUW,euw,europe
Flatlinar,1NA,na,americas
